title,location,price,url,bedrooms,bathrooms,date,builtin_year,occupancy_status,amenities,area_breakdown,available_from,floor_area(sqft),floor_no,listing_date_added,listing_is_verified,ownership_status,price_breakdown,purpose,type,unit_no,zip
Prominent 1268 Sq Ft Apartment Available for Sale in Uttara,"Rasdia Mouza, Uttara","8,500,000",https://www.bproperty.com/buy/dhaka/uttara/prominent-1268-sq-ft-apartment-available-for-sale-172708758895/,3,3,9/8/2024,2023,Vacant,"Electricity Backup, Service Elevators, Electricity, Maintenance Staff, CCTV Security, View, Balcony or Terrace, Lobby in Building, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Public Transport, Other Nearby Places, Pet Policy, Guard/ Security Staff",,,1268,,,,,,,,5,
Prominent 1268 Sq Ft Apartment Available for Sale in Uttara,"Rasdia Mouza, Uttara","8,500,000",https://www.bproperty.com/buy/dhaka/uttara/prominent-1268-sq-ft-apartment-available-for-sale-172708758895/,3,3,9/8/2024,2023,Vacant,"Electricity Backup, Service Elevators, Electricity, Maintenance Staff, CCTV Security, View, Balcony or Terrace, Lobby in Building, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Public Transport, Other Nearby Places, Pet Policy, Guard/ Security Staff",,,1268,,,,,,,,5,
"Economical 1,200 SFT Flat for Sale in Mirpur","Section 1, Mirpur","8,400,000",https://www.bproperty.com/buy/dhaka/mirpur/economical-1-200-sft-flat-for-sale-in-mirpur-172690645849/,3,3,21-09-2024,2023,Vacant,"Electricity Backup, Elevators in Building, Electricity, Intercom, Cleaning Services, CCTV Security, Visitor Log, Balcony or Terrace, Lobby in Building, Guard/ Security Staff",,,1200,7,,,,,,,7,
"Economical 1,200 SFT Flat for Sale in Mirpur","Section 1, Mirpur","8,400,000",https://www.bproperty.com/buy/dhaka/mirpur/economical-1-200-sft-flat-for-sale-in-mirpur-172690645849/,3,3,21-09-2024,2023,Vacant,"Electricity Backup, Elevators in Building, Electricity, Intercom, Cleaning Services, CCTV Security, Visitor Log, Balcony or Terrace, Lobby in Building, Guard/ Security Staff",,,1200,7,,,,,,,7,
Reasonable 1450 Sq Ft Flat For Sale In Kathalbagan,"Kathal Bagan Sonargaon Road, Hatirpool","11,500,000",https://www.bproperty.com/buy/dhaka/hatirpool/reasonable-1450-sq-ft-flat-for-sale-in-kathalbagan-172707478560/,3,4,20/09/2024,2014,Vacant,"Freehold, Gas, Electricity, Intercom, Balcony or Terrace, Nearby Schools, Nearby Hospitals, Nearby Public Transport",,,1450,,,,,,,,,
Reasonable 1450 Sq Ft Flat For Sale In Kathalbagan,"Kathal Bagan Sonargaon Road, Hatirpool","11,500,000",https://www.bproperty.com/buy/dhaka/hatirpool/reasonable-1450-sq-ft-flat-for-sale-in-kathalbagan-172707478560/,3,4,20/09/2024,2014,Vacant,"Freehold, Gas, Electricity, Intercom, Balcony or Terrace, Nearby Schools, Nearby Hospitals, Nearby Public Transport",,,1450,,,,,,,,,
"Secure This 2,500 Sq Ft Apartment for Sale in Bashundhara R/A","Block B, Bashundhara R-A","26,000,000",https://www.bproperty.com/buy/dhaka/bashundhara-r-a/secure-this-2-500-sq-ft-apartment-for-sale-in-bash-172654487818/,4,4,15/09/2024,2013,Occupied,"Electricity Backup, Freehold, Apartment Facing, Gas, Electricity, Storage Areas, Broadband Internet, Satellite/Cable TV, Intercom, Maintenance Staff, CCTV Security, Fire Exit, Fire Extinguisher, Parking Spaces",,,2500,4,,,,,,,4,
"Secure This 2,500 Sq Ft Apartment for Sale in Bashundhara R/A","Block B, Bashundhara R-A","26,000,000",https://www.bproperty.com/buy/dhaka/bashundhara-r-a/secure-this-2-500-sq-ft-apartment-for-sale-in-bash-172654487818/,4,4,15/09/2024,2013,Occupied,"Electricity Backup, Freehold, Apartment Facing, Gas, Electricity, Storage Areas, Broadband Internet, Satellite/Cable TV, Intercom, Maintenance Staff, CCTV Security, Fire Exit, Fire Extinguisher, Parking Spaces",,,2500,4,,,,,,,4,
"Sophisticated 2,370 sq ft residential Apartment for Sale in Bashundhara R-A","Block I, Bashundhara R-A","27,000,000",https://www.bproperty.com/buy/dhaka/bashundhara-r-a/sophisticated-2-370-sq-ft-residential-apartment-fo-172637749028/,4,4,15-09-2024,2018,Vacant,"Double Glazed Windows, Central Heating, Electricity Backup, Elevators in Building, Freehold, Furnished, 24 Hours Concierge, Apartment Facing, Gas, Electricity, Other Rooms, Reception/Waiting Area, Storage Areas, Community Space, Broadband Internet, Satellite/Cable TV, Intercom, Maintenance Staff, Shared Kitchen, Facilities for Disabled, Cleaning Services, CCTV Security, View, Balcony or Terrace, Lobby in Building, Parking Spaces, ATM Facility, Other Facilities, Day Care Center, First Aid Medical Center, Gym or Health Club, Swimming Pool, Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Distance From Airport (kms), Nearby Public Transport, Other Nearby Places, Guard/ Security Staff",2370,,2370,2nd,,,,27000000,,,2,1229
"Sophisticated 2,370 sq ft residential Apartment for Sale in Bashundhara R-A","Block I, Bashundhara R-A","27,000,000",https://www.bproperty.com/buy/dhaka/bashundhara-r-a/sophisticated-2-370-sq-ft-residential-apartment-fo-172637749028/,4,4,15-09-2024,2018,Vacant,"Double Glazed Windows, Central Heating, Electricity Backup, Elevators in Building, Freehold, Furnished, 24 Hours Concierge, Apartment Facing, Gas, Electricity, Other Rooms, Reception/Waiting Area, Storage Areas, Community Space, Broadband Internet, Satellite/Cable TV, Intercom, Maintenance Staff, Shared Kitchen, Facilities for Disabled, Cleaning Services, CCTV Security, View, Balcony or Terrace, Lobby in Building, Parking Spaces, ATM Facility, Other Facilities, Day Care Center, First Aid Medical Center, Gym or Health Club, Swimming Pool, Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Distance From Airport (kms), Nearby Public Transport, Other Nearby Places, Guard/ Security Staff",2370,,2370,2nd,,,,27000000,,,2,1229
